Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
25/10/2024,NUKL.DE,BUY,1,32.27,0.04,1.19829186,26.97,
07/02/2025,PLTR,BUY,0.1087333,114.95,0.02,1.24120087,10.09,
07/02/2025,CASH,DEPOSIT,0,0,0,0,10,
13/02/2025,BA,BUY,2.6831762,186.35,0.6,1.25190256,400,
13/02/2025,BABA,BUY,4.2453209,117.78,0.6,1.2519126,400,
13/02/2025,CASH,DEPOSIT,0,0,0,0,10000,
14/02/2025,CSPX,BUY,6.7550625,650.2,5.24,1.25677918,3500,
14/02/2025,NASD,BUY,2.080101,89.28,0.22,1.2566749,148,
14/02/2025,NASD,BUY,19,89.29,2.02,1.25669269,1352,
14/02/2025,CASH,INTEREST   ,0,0,0,0,1.2,
15/02/2025,CASH,INTEREST   ,0,0,0,0,0.55,
16/02/2025,CASH,INTEREST   ,0,0,0,0,0.55,
17/02/2025,CASH,INTEREST   ,0,0,0,0,0.55,
17/02/2025,CASH,WITHDRAW,0,0,0,0,-4202.85,
04/03/2025,PLTR,SELL,0.1087333,80.14,0.01,1.27210024,6.84,
04/03/2025,QUBT,SELL,1,5.01,0.01,1.2715736,3.93,
04/03/2025,SMR,SELL,0.170474,14.5,0,1.27416134,1.94,
05/03/2025,BRK-B,SELL,0.0316514,492.8,0.02,1.28694801,12.1,
05/03/2025,CNDX,SELL,0.3050213,1157.51,0.41,1.28682146,273.96,
06/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
07/03/2025,CSPX,BUY,0.6323803,611.54,0.45,1.29102269,300,
07/03/2025,NASD,BUY,1.252796,81.53,0.12,1.29111942,79.23,
07/03/2025,NASD,BUY,1.90949,81.53,0.18,1.29099195,120.77,
07/03/2025,CASH,DEPOSIT,0,0,0,0,201.15,
07/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
11/03/2025,CSPX,BUY,1.5333,589.95,1.05,1.29242796,700.95,
11/03/2025,CASH,DEPOSIT,0,0,0,0,1000,
12/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
13/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
14/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
15/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
16/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
17/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
18/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
19/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
20/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
21/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
22/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
23/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
24/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
25/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
26/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
27/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
