Date,ticker,side,quantity,price,fees,fx_rate,notes,
07/02/2025,PLTR,BUY,0.1087333,114.95,0.02,1.24120087,,
07/02/2025,CASH,DEPOSIT,0,0,0,0,,
13/02/2025,BA,BUY,2.6831762,186.35,0.6,1.25190256,,
13/02/2025,BABA,BUY,4.2453209,117.78,0.6,1.2519126,,
13/02/2025,CASH,DEPOSIT,0,0,0,0,,
14/02/2025,CSPX.L,BUY,6.7550625,650.2,5.24,1.25677918,,
14/02/2025,NASD.L,BUY,19,89.29,2.02,1.25669269,,
14/02/2025,NASD.L,BUY,2.080101,89.28,0.22,1.2566749,,
14/02/2025,CASH,INTEREST   ,,,0,,,
15/02/2025,CASH,INTEREST   ,,,0,,,
16/02/2025,CASH,INTEREST   ,,,0,,,
17/02/2025,CASH,INTEREST   ,,,0,,,
17/02/2025,,WITHDRAWAL,,,0,,,
04/03/2025,PLTR,SELL,0.1087333,80.14,0.01,1.27210024,,
04/03/2025,QUBT,SELL,1,5.01,0.01,1.2715736,,
04/03/2025,SMR,SELL,0.170474,14.5,0,1.27416134,,
05/03/2025,BRK.B,SELL,0.0316514,492.8,0.02,1.28694801,,
05/03/2025,CNDX.L,SELL,0.3050213,1157.51,0.41,1.28682146,,
06/03/2025,CASH,INTEREST   ,,,0,,,
07/03/2025,CSPX.L,BUY,0.6323803,611.54,0.45,1.29102269,,
07/03/2025,NASD.L,BUY,1.90949,81.53,0.18,1.29099195,,
07/03/2025,NASD.L,BUY,1.252796,81.53,0.12,1.29111942,,
07/03/2025,CASH,DEPOSIT,0,0,0,0,,
07/03/2025,CASH,INTEREST   ,,,0,,,
11/03/2025,CSPX.L,BUY,1.5333,589.95,1.05,1.29242796,,
11/03/2025,CASH,DEPOSIT,0,0,0,0,,
12/03/2025,CASH,INTEREST   ,,,0,,,
13/03/2025,CASH,INTEREST   ,,,0,,,
14/03/2025,CASH,INTEREST   ,,,0,,,
15/03/2025,CASH,INTEREST   ,,,0,,,
16/03/2025,CASH,INTEREST   ,,,0,,,
17/03/2025,CASH,INTEREST   ,,,0,,,
18/03/2025,CASH,INTEREST   ,,,0,,,
19/03/2025,CASH,INTEREST   ,,,0,,,
20/03/2025,CASH,INTEREST   ,,,0,,,
21/03/2025,CASH,INTEREST   ,,,0,,,
22/03/2025,CASH,INTEREST   ,,,0,,,
23/03/2025,CASH,INTEREST   ,,,0,,,
24/03/2025,CASH,INTEREST   ,,,0,,,
25/03/2025,CASH,INTEREST   ,,,0,,,
26/03/2025,CASH,INTEREST   ,,,0,,,
27/03/2025,CASH,INTEREST   ,,,0,,,
28/03/2025,CASH,INTEREST   ,,,0,,,
29/03/2025,CASH,INTEREST   ,,,0,,,
30/03/2025,CASH,INTEREST   ,,,0,,,
31/03/2025,CASH,INTEREST   ,,,0,,,
01/04/2025,CASH,INTEREST   ,,,0,,,
02/04/2025,CASH,INTEREST   ,,,0,,,
03/04/2025,CSPX.L,BUY,0.4482098,584.26,0.3,1.31132227,,
03/04/2025,CASH,INTEREST   ,,,0,,,
04/04/2025,CSPX.L,BUY,0.6847919,571.27,0.45,1.3059625,,
04/04/2025,CSPX.L,BUY,0.6998209,556.93,0.45,1.30112252,,
04/04/2025,NASD.L,BUY,2.673536,72.82,0.22,1.29981901,,
04/04/2025,CASH,DEPOSIT,0,0,0,0,,
04/04/2025,CASH,INTEREST   ,,,0,,,
05/04/2025,CASH,INTEREST   ,,,0,,,
06/04/2025,CASH,INTEREST   ,,,0,,,
07/04/2025,CSPX.L,BUY,2.0012932,514.97,1.2,1.29019273,,
07/04/2025,NASD.L,BUY,5.775961,66.93,0.45,1.29055272,,
07/04/2025,CASH,DEPOSIT,0,0,0,0,,
07/04/2025,CASH,INTEREST   ,,,0,,,
08/04/2025,CASH,DEPOSIT,0,0,0,0,,
08/04/2025,CASH,INTEREST   ,,,0,,,
09/04/2025,BABA,BUY,4,100,0.47,1.27803693,,
09/04/2025,CSPX.L,BUY,0.7213654,531.68,0.45,1.28037241,,
09/04/2025,CSPX.L,BUY,0.9793569,521.23,0.6,1.27809263,,
09/04/2025,CASH,DEPOSIT,0,0,0,0,,
09/04/2025,CASH,INTEREST   ,,,0,,,
10/04/2025,CASH,INTEREST   ,,,0,,,
11/04/2025,CASH,INTEREST   ,,,0,,,
12/04/2025,CASH,INTEREST   ,,,0,,,
13/04/2025,CASH,INTEREST   ,,,0,,,
14/04/2025,CASH,INTEREST   ,,,0,,,
15/04/2025,CASH,INTEREST   ,,,0,,,
16/04/2025,CASH,INTEREST   ,,,0,,,
17/04/2025,CASH,INTEREST   ,,,0,,,
18/04/2025,CASH,INTEREST   ,,,0,,,
19/04/2025,CASH,INTEREST   ,,,0,,,
20/04/2025,CASH,INTEREST   ,,,0,,,
21/04/2025,CASH,INTEREST   ,,,0,,,
22/04/2025,CSPX.L,BUY,0.4826025,554.35,0.3,1.33966297,,
22/04/2025,NASD.L,BUY,1.835867,72.86,0.15,1.33962212,,
22/04/2025,CASH,DEPOSIT,0,0,0,0,,
22/04/2025,CASH,INTEREST   ,,,0,,,
23/04/2025,CASH,INTEREST   ,,,0,,,
24/04/2025,CASH,INTEREST   ,,,0,,,
25/04/2025,CASH,INTEREST   ,,,0,,,
26/04/2025,CASH,INTEREST   ,,,0,,,
27/04/2025,CASH,INTEREST   ,,,0,,,
28/04/2025,CASH,INTEREST   ,,,0,,,
29/04/2025,CASH,INTEREST   ,,,0,,,
30/04/2025,CSPX.L,BUY,1.1426479,582.91,0.75,1.33412295,,
30/04/2025,NASD.L,BUY,5.172698,77.22,0.45,1.33345264,,
30/04/2025,CASH,INTEREST   ,,,0,,,
01/05/2025,NKE,BUY,2,57.13,0.13,1.32814134,,
01/05/2025,CASH,INTEREST   ,,,0,,,
02/05/2025,CASH,INTEREST   ,,,0,,,
03/05/2025,CASH,INTEREST   ,,,0,,,
04/05/2025,CASH,INTEREST   ,,,0,,,
05/05/2025,CASH,INTEREST   ,,,0,,,
06/05/2025,CASH,INTEREST   ,,,0,,,
07/05/2025,CASH,INTEREST   ,,,0,,,
08/05/2025,BA,BUY,1,187.1,0.21,1.33347587,,
08/05/2025,CASH,INTEREST   ,,,0,,,
10/05/2025,CASH,INTEREST   ,,,0,,,
13/05/2025,CASH,INTEREST   ,,,0,,,
14/05/2025,BA,BUY,0.6502713,204.5,0.15,1.33180251,,
14/05/2025,CSPX.L,BUY,0.211773,627.67,0.15,1.33123243,,
